Date,Open,High,Low,Close
1980-07-23,251.26,251.26,251.26,251.26
1980-07-24,250.83,250.83,250.83,250.83
1980-07-25,252.85,252.85,252.85,252.85
1980-07-28,255.76,255.76,255.76,255.76
1980-07-29,251.51,251.51,251.51,251.51
1980-07-30,249.27,249.27,249.27,249.27
1980-07-31,249.07,249.07,249.07,249.07
1980-08-01,246.86,246.86,246.86,246.86
1980-08-04,246.97,246.97,246.97,246.97
1980-08-05,248.41,248.41,248.41,248.41
1980-08-06,248.42,248.42,248.42,248.42
1980-08-07,246.96,246.96,246.96,246.96
1980-08-08,247.48,247.48,247.48,247.48
1980-08-11,246.97,246.97,246.97,246.97
1980-08-12,244.18,244.18,244.18,244.18
1980-08-13,245.09,245.09,245.09,245.09
1980-08-14,245.04,245.04,245.04,245.04
1980-08-15,246.45,246.45,246.45,246.45
1980-08-18,245.43,245.43,245.43,245.43
1980-08-19,243.11,243.11,243.11,243.11
1980-08-20,243.26,243.26,243.26,243.26
1980-08-21,244.08,244.08,244.08,244.08
1980-08-22,241.53,241.53,241.53,241.53
1980-08-25,241.2,241.2,241.2,241.2
1980-08-26,237.45,237.45,237.45,237.45
1980-08-27,238.01,238.01,238.01,238.01
1980-08-28,237.87,237.87,237.87,237.87
1980-08-29,238.45,238.45,238.45,238.45
1980-09-02,236.84,236.84,236.84,236.84
1980-09-03,237.97,237.97,237.97,237.97
1980-09-04,238.39,238.39,238.39,238.39
1980-09-05,238.56,238.56,238.56,238.56
1980-09-08,237.84,237.84,237.84,237.84
1980-09-09,237.52,237.52,237.52,237.52
1980-09-10,237.43,237.43,237.43,237.43
1980-09-11,235.32,235.32,235.32,235.32
1980-09-12,233.6,233.6,233.6,233.6
1980-09-15,232.6,232.6,232.6,232.6
1980-09-16,231.13,231.13,231.13,231.13
1980-09-17,232.06,232.06,232.06,232.06
1980-09-18,231.8,231.8,231.8,231.8
1980-09-19,229.13,229.13,229.13,229.13
1980-09-22,231.83,231.83,231.83,231.83
1980-09-23,234.86,234.86,234.86,234.86
1980-09-24,233.01,233.01,233.01,233.01
1980-09-25,233.15,233.15,233.15,233.15
1980-09-26,229.11,229.11,229.11,229.11
1980-09-29,228.39,228.39,228.39,228.39
1980-09-30,226.85,226.85,226.85,226.85
1980-10-01,224.84,224.84,224.84,224.84
1980-10-02,224.02,224.02,224.02,224.02
1980-10-03,223.53,223.53,223.53,223.53
1980-10-06,225.39,225.39,225.39,225.39
1980-10-07,225.68,225.68,225.68,225.68
1980-10-08,225.29,225.29,225.29,225.29
1980-10-09,225.75,225.75,225.75,225.75
1980-10-10,225.91,225.91,225.91,225.91
1980-10-14,221.59,221.59,221.59,221.59
1980-10-15,221.42,221.42,221.42,221.42
1980-10-16,222.07,222.07,222.07,222.07
1980-10-17,220.19,220.19,220.19,220.19
1980-10-20,218.17,218.17,218.17,218.17
1980-10-21,217.83,217.83,217.83,217.83
1980-10-22,219.08,219.08,219.08,219.08
1980-10-23,220.28,220.28,220.28,220.28
1980-10-24,222.27,222.27,222.27,222.27
