Date,Open,High,Low,Close
2002-11-15,1.5757,1.5853,1.5727,1.5853
2002-11-18,1.5836,1.5918,1.5799,1.5904
2002-11-19,1.5896,1.5912,1.5836,1.584
2002-11-20,1.5836,1.5879,1.5817,1.5856
2002-11-21,1.5854,1.5866,1.577,1.5777
2002-11-22,1.5784,1.5827,1.577,1.5786
2002-11-25,1.5763,1.5789,1.5718,1.5727
2002-11-26,1.5722,1.5758,1.5695,1.5758
2002-11-27,1.5769,1.5789,1.5725,1.5726
2002-11-28,1.5738,1.5758,1.5715,1.5733
2002-11-29,1.5742,1.5753,1.5634,1.5652
2002-12-02,1.5625,1.5644,1.556,1.5566
2002-12-03,1.5578,1.5602,1.5548,1.5577
2002-12-04,1.5586,1.5619,1.5567,1.56
2002-12-05,1.5607,1.5616,1.5571,1.561
2002-12-06,1.564,1.5667,1.5572,1.5646
2002-12-09,1.5636,1.5642,1.5583,1.5626
2002-12-10,1.5624,1.5626,1.5567,1.5601
2002-12-11,1.5603,1.5605,1.553,1.556
2002-12-12,1.5561,1.5569,1.5514,1.5541
2002-12-13,1.5534,1.5612,1.5518,1.5597
2002-12-16,1.5608,1.5634,1.5571,1.5613
2002-12-17,1.5605,1.5605,1.5472,1.5481
2002-12-18,1.5488,1.555,1.5448,1.553
2002-12-19,1.5532,1.5545,1.5459,1.5514
2002-12-20,1.5508,1.5549,1.547,1.5499
2002-12-23,1.5505,1.5524,1.5475,1.5508
2002-12-24,1.5506,1.5514,1.5468,1.5473
2002-12-25,1.547,1.548,1.5463,1.5473
2002-12-26,1.5479,1.5578,1.5473,1.5578
2002-12-27,1.5629,1.5711,1.5594,1.568
2002-12-30,1.5679,1.5792,1.5656,1.5767
2002-12-31,1.575,1.5797,1.5713,1.5724
2003-01-01,1.571,1.5735,1.5706,1.5735
2003-01-02,1.5734,1.5773,1.5669,1.567
2003-01-03,1.5669,1.5694,1.5635,1.5635
2003-01-06,1.5635,1.5638,1.5586,1.5589
2003-01-07,1.5598,1.5628,1.556,1.5628
2003-01-08,1.5621,1.5654,1.559,1.5605
2003-01-09,1.5605,1.5608,1.5506,1.5506
2003-01-10,1.5511,1.553,1.5445,1.545
2003-01-13,1.5428,1.5444,1.5395,1.5407
2003-01-14,1.541,1.542,1.5371,1.5403
2003-01-15,1.5412,1.5436,1.5335,1.5358
2003-01-16,1.5355,1.538,1.532,1.5347
2003-01-17,1.534,1.536,1.5296,1.5355
2003-01-20,1.5345,1.5374,1.5325,1.5352
2003-01-21,1.5342,1.538,1.531,1.5326
2003-01-22,1.5318,1.5336,1.5296,1.5308
2003-01-23,1.5308,1.5308,1.5224,1.5245
2003-01-24,1.5234,1.5254,1.5184,1.5189
2003-01-27,1.5177,1.5266,1.5173,1.5254
2003-01-28,1.5268,1.536,1.524,1.5275
2003-01-29,1.528,1.5286,1.5193,1.5212
2003-01-30,1.5215,1.532,1.5201,1.5282
2003-01-31,1.5273,1.5337,1.52,1.5209
2003-02-03,1.519,1.5232,1.5156,1.5169
2003-02-04,1.5171,1.5193,1.5135,1.5145
2003-02-05,1.5148,1.5218,1.5128,1.5206
2003-02-06,1.5203,1.5257,1.516,1.5166
2003-02-07,1.517,1.5236,1.517,1.5203
2003-02-10,1.5221,1.5309,1.5219,1.5292
2003-02-11,1.5291,1.5325,1.5278,1.5292
2003-02-12,1.528,1.5289,1.5253,1.5289
2003-02-13,1.532,1.532,1.5166,1.5173
2003-02-14,1.5178,1.5237,1.5136,1.5228
2003-02-17,1.5233,1.525,1.5202,1.5203
2003-02-18,1.5206,1.5235,1.5137,1.5169
2003-02-19,1.5162,1.5165,1.5113,1.5122
2003-02-20,1.5118,1.5121,1.5035,1.5052
2003-02-21,1.5051,1.5073,1.503,1.5043
2003-02-24,1.5014,1.5022,1.488,1.4905
2003-02-25,1.4919,1.4945,1.4873,1.4933
2003-02-26,1.4954,1.4966,1.4921,1.4932
2003-02-27,1.492,1.4959,1.4889,1.4937
2003-02-28,1.4936,1.4955,1.4832,1.4832
2003-03-03,1.4828,1.4878,1.4824,1.4836
2003-03-04,1.4838,1.4884,1.4746,1.4779
2003-03-05,1.4719,1.4754,1.468,1.469
2003-03-06,1.4677,1.4747,1.4676,1.4701
2003-03-07,1.4712,1.4732,1.4607,1.4661
2003-03-10,1.4654,1.4671,1.462,1.4638
2003-03-11,1.463,1.4749,1.4591,1.4715
2003-03-12,1.4723,1.4816,1.4702,1.475
2003-03-13,1.4788,1.4868,1.4776,1.484
